local_code,text,table_name,parent_varname,local_code_system,code,display,code_system,comment
DUO:0000004,no restriction,EnumDataUsePermission,,,0000004,no restriction,http://purl.obolibrary.org/obo/DUO_,LinkML gen-harmony
DUO:0000006,health or medical or biomedical research,EnumDataUsePermission,,,0000006,health or medical or biomedical research,http://purl.obolibrary.org/obo/DUO_,LinkML gen-harmony
DUO:0000007,disease specific research,EnumDataUsePermission,,,0000007,disease specific research,http://purl.obolibrary.org/obo/DUO_,LinkML gen-harmony
DUO:0000011,population origins or ancestry research only,EnumDataUsePermission,,,0000011,population origins or ancestry research only,http://purl.obolibrary.org/obo/DUO_,LinkML gen-harmony
DUO:0000042,general research use,EnumDataUsePermission,,,0000042,general research use,http://purl.obolibrary.org/obo/DUO_,LinkML gen-harmony
DUO:00000044,population origins or ancestry research prohibited,EnumDataUseModifier,,,00000044,population origins or ancestry research prohibited,http://purl.obolibrary.org/obo/DUO_,LinkML gen-harmony
DUO:0000012,research specific restrictions,EnumDataUseModifier,,,0000012,research specific restrictions,http://purl.obolibrary.org/obo/DUO_,LinkML gen-harmony
DUO:0000015,no general methods research,EnumDataUseModifier,,,0000015,no general methods research,http://purl.obolibrary.org/obo/DUO_,LinkML gen-harmony
DUO:0000016,genetic studies only,EnumDataUseModifier,,,0000016,genetic studies only,http://purl.obolibrary.org/obo/DUO_,LinkML gen-harmony
DUO:0000018,"not for profit, non commercial use only",EnumDataUseModifier,,,0000018,"not for profit, non commercial use only",http://purl.obolibrary.org/obo/DUO_,LinkML gen-harmony
DUO:0000019,publication required,EnumDataUseModifier,,,0000019,publication required,http://purl.obolibrary.org/obo/DUO_,LinkML gen-harmony
DUO:0000020,collaboration required,EnumDataUseModifier,,,0000020,collaboration required,http://purl.obolibrary.org/obo/DUO_,LinkML gen-harmony
DUO:0000021,ethics approval required,EnumDataUseModifier,,,0000021,ethics approval required,http://purl.obolibrary.org/obo/DUO_,LinkML gen-harmony
DUO:0000022,geographical restriction,EnumDataUseModifier,,,0000022,geographical restriction,http://purl.obolibrary.org/obo/DUO_,LinkML gen-harmony
DUO:0000024,publication moratorium,EnumDataUseModifier,,,0000024,publication moratorium,http://purl.obolibrary.org/obo/DUO_,LinkML gen-harmony
DUO:0000025,time limit on use,EnumDataUseModifier,,,0000025,time limit on use,http://purl.obolibrary.org/obo/DUO_,LinkML gen-harmony
DUO:0000026,user specific restriction,EnumDataUseModifier,,,0000026,user specific restriction,http://purl.obolibrary.org/obo/DUO_,LinkML gen-harmony
DUO:0000027,project specific restriction,EnumDataUseModifier,,,0000027,project specific restriction,http://purl.obolibrary.org/obo/DUO_,LinkML gen-harmony
DUO:0000028,institution specific restriction,EnumDataUseModifier,,,0000028,institution specific restriction,http://purl.obolibrary.org/obo/DUO_,LinkML gen-harmony
DUO:0000029,return to database or resource,EnumDataUseModifier,,,0000029,return to database or resource,http://purl.obolibrary.org/obo/DUO_,LinkML gen-harmony
DUO:0000043,clinical care use,EnumDataUseModifier,,,0000043,clinical care use,http://purl.obolibrary.org/obo/DUO_,LinkML gen-harmony
DUO:0000045,not for profit organisation use only,EnumDataUseModifier,,,0000045,not for profit organisation use only,http://purl.obolibrary.org/obo/DUO_,LinkML gen-harmony
DUO:0000046,non-commercial use only,EnumDataUseModifier,,,0000046,non-commercial use only,http://purl.obolibrary.org/obo/DUO_,LinkML gen-harmony
behavior_and_behavior_mechanisms,Behavior and Behavior Mechanisms,EnumResearchDomain,StudyMetadata,research_domain,D001520,Behavior and Behavior Mechanisms,http://id.nlm.nih.gov/mesh/,LinkML gen-harmony
congenital_heart_defects,Congenital Heart Defects,EnumResearchDomain,StudyMetadata,research_domain,D006330,Congenital Heart Defects,http://id.nlm.nih.gov/mesh/,LinkML gen-harmony
immune_system_diseases,Immune System Diseases,EnumResearchDomain,StudyMetadata,research_domain,D007154,Immune System Diseases,http://id.nlm.nih.gov/mesh/,LinkML gen-harmony
hematologic_diseases,Hematologic Diseases,EnumResearchDomain,StudyMetadata,research_domain,D006402,Hematologic Diseases,http://id.nlm.nih.gov/mesh/,LinkML gen-harmony
neurodevelopment,Neurodevelopment,EnumResearchDomain,StudyMetadata,research_domain,D065886,Neurodevelopment,http://id.nlm.nih.gov/mesh/,LinkML gen-harmony
sleep_wake_disorders,Sleep Wake Disorders,EnumResearchDomain,StudyMetadata,research_domain,D012893,Sleep Wake Disorders,http://id.nlm.nih.gov/mesh/,LinkML gen-harmony
all_co_occurring_conditions,All Co-occurring Conditions,EnumResearchDomain,StudyMetadata,research_domain,D013568,All Co-occurring Conditions,http://id.nlm.nih.gov/mesh/,LinkML gen-harmony
physical_fitness,Physical Fitness,EnumResearchDomain,StudyMetadata,research_domain,D010809,Physical Fitness,http://id.nlm.nih.gov/mesh/,LinkML gen-harmony
female,Female,EnumSex,,,C16576,Female,http://purl.obolibrary.org/obo/NCIT_,LinkML gen-harmony
male,Male,EnumSex,,,C20197,Male,http://purl.obolibrary.org/obo/NCIT_,LinkML gen-harmony
other,Other,EnumSex,,,C17649,Other,http://purl.obolibrary.org/obo/NCIT_,LinkML gen-harmony
unknown,Unknown,EnumSex,,,C17998,Unknown,http://purl.obolibrary.org/obo/NCIT_,LinkML gen-harmony
american_indian_or_alaska_native,American Indian or Alaska Native,EnumRace,,,C41259,American Indian or Alaska Native,http://purl.obolibrary.org/obo/NCIT_,LinkML gen-harmony
asian,Asian,EnumRace,,,C41260,Asian,http://purl.obolibrary.org/obo/NCIT_,LinkML gen-harmony
black_or_african_american,Black or African American,EnumRace,,,C16352,Black or African American,http://purl.obolibrary.org/obo/NCIT_,LinkML gen-harmony
more_than_one_race,More than one race,EnumRace,,,C67109,More than one race,http://purl.obolibrary.org/obo/NCIT_,LinkML gen-harmony
native_hawaiian_or_other_pacific_islander,Native Hawaiian or Other Pacific Islander,EnumRace,,,C41219,Native Hawaiian or Other Pacific Islander,http://purl.obolibrary.org/obo/NCIT_,LinkML gen-harmony
other,Other,EnumRace,,,C17649,Other,http://purl.obolibrary.org/obo/NCIT_,LinkML gen-harmony
white,White,EnumRace,,,C41261,White,http://purl.obolibrary.org/obo/NCIT_,LinkML gen-harmony
prefer_not_to_answer,Prefer not to answer,EnumRace,,,C132222,Prefer not to answer,http://purl.obolibrary.org/obo/NCIT_,LinkML gen-harmony
unknown,Unknown,EnumRace,,,C17998,Unknown,http://purl.obolibrary.org/obo/NCIT_,LinkML gen-harmony
east_asian,East Asian,EnumRace,,,C161419,East Asian,http://purl.obolibrary.org/obo/NCIT_,LinkML gen-harmony
latin_american,Latin American,EnumRace,,,C126531,Latin American,http://purl.obolibrary.org/obo/NCIT_,LinkML gen-harmony
middle_eastern_or_north_african,Middle Eastern or North African,EnumRace,,,C43866,Middle Eastern or North African,http://purl.obolibrary.org/obo/NCIT_,LinkML gen-harmony
south_asian,South Asian,EnumRace,,,C41263,South Asian,http://purl.obolibrary.org/obo/NCIT_,LinkML gen-harmony
hispanic_or_latino,Hispanic or Latino,EnumEthnicity,,,C17459,Hispanic or Latino,http://purl.obolibrary.org/obo/NCIT_,LinkML gen-harmony
not_hispanic_or_latino,Not Hispanic or Latino,EnumEthnicity,,,C41222,Not Hispanic or Latino,http://purl.obolibrary.org/obo/NCIT_,LinkML gen-harmony
prefer_not_to_answer,Prefer not to answer,EnumEthnicity,,,C132222,Prefer not to answer,http://purl.obolibrary.org/obo/NCIT_,LinkML gen-harmony
unknown,Unknown,EnumEthnicity,,,C17998,Unknown,http://purl.obolibrary.org/obo/NCIT_,LinkML gen-harmony
dead,Dead,EnumVitalStatus,,,C28554,Dead,http://purl.obolibrary.org/obo/NCIT_,LinkML gen-harmony
alive,Alive,EnumVitalStatus,,,C37987,Alive,http://purl.obolibrary.org/obo/NCIT_,LinkML gen-harmony
unknown,Unknown,EnumNull,,,C17998,Unknown,http://purl.obolibrary.org/obo/NCIT_,LinkML gen-harmony
not_suspected,not-suspected,EnumConsanguinityAssertion,,,428263003,not-suspected,http://snomed.info/id/,LinkML gen-harmony
suspected,suspected,EnumConsanguinityAssertion,,,415684004,suspected,http://snomed.info/id/,LinkML gen-harmony
known_present,known-present,EnumConsanguinityAssertion,,,410515003,known-present,http://snomed.info/id/,LinkML gen-harmony
unknown,unknown,EnumConsanguinityAssertion,,,261665006,unknown,http://snomed.info/id/,LinkML gen-harmony
available,Available,EnumAvailabilityStatus,,,available,Available,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/biospecimen-availability/,LinkML gen-harmony
unavailable,Unavailable,EnumAvailabilityStatus,,,unavailable,Unavailable,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/biospecimen-availability/,LinkML gen-harmony
snomedct:106233006,Topographical modifier (qualifier value),EnumSpatialQualifiers,,,106233006,Topographical modifier (qualifier value),http://snomed.info/id/,LinkML gen-harmony
snomedct:103339001,Long axis,EnumSpatialQualifiers,,,103339001,Long axis,http://snomed.info/id/,LinkML gen-harmony
snomedct:103340004,Short axis,EnumSpatialQualifiers,,,103340004,Short axis,http://snomed.info/id/,LinkML gen-harmony
snomedct:103341000,Off axis,EnumSpatialQualifiers,,,103341000,Off axis,http://snomed.info/id/,LinkML gen-harmony
snomedct:103342007,Mid-longitudinal,EnumSpatialQualifiers,,,103342007,Mid-longitudinal,http://snomed.info/id/,LinkML gen-harmony
snomedct:103343002,Parasagittal,EnumSpatialQualifiers,,,103343002,Parasagittal,http://snomed.info/id/,LinkML gen-harmony
snomedct:103344008,Transvesical,EnumSpatialQualifiers,,,103344008,Transvesical,http://snomed.info/id/,LinkML gen-harmony
snomedct:103345009,Transthecal,EnumSpatialQualifiers,,,103345009,Transthecal,http://snomed.info/id/,LinkML gen-harmony
snomedct:103346005,Transsplenic,EnumSpatialQualifiers,,,103346005,Transsplenic,http://snomed.info/id/,LinkML gen-harmony
snomedct:103347001,Transrenal,EnumSpatialQualifiers,,,103347001,Transrenal,http://snomed.info/id/,LinkML gen-harmony
snomedct:103348006,Transpleural,EnumSpatialQualifiers,,,103348006,Transpleural,http://snomed.info/id/,LinkML gen-harmony
snomedct:103349003,Transpancreatic,EnumSpatialQualifiers,,,103349003,Transpancreatic,http://snomed.info/id/,LinkML gen-harmony
snomedct:103353001,Transgastric,EnumSpatialQualifiers,,,103353001,Transgastric,http://snomed.info/id/,LinkML gen-harmony
snomedct:103354007,Transmural,EnumSpatialQualifiers,,,103354007,Transmural,http://snomed.info/id/,LinkML gen-harmony
snomedct:11070000,Capsular,EnumSpatialQualifiers,,,11070000,Capsular,http://snomed.info/id/,LinkML gen-harmony
snomedct:1146002,Arcuate,EnumSpatialQualifiers,,,1146002,Arcuate,http://snomed.info/id/,LinkML gen-harmony
snomedct:11896004,Intermediate,EnumSpatialQualifiers,,,11896004,Intermediate,http://snomed.info/id/,LinkML gen-harmony
snomedct:1217011006,Non-adjacent,EnumSpatialQualifiers,,,1217011006,Non-adjacent,http://snomed.info/id/,LinkML gen-harmony
snomedct:131183008,Intra-articular,EnumSpatialQualifiers,,,131183008,Intra-articular,http://snomed.info/id/,LinkML gen-harmony
snomedct:131184002,Area of defined region,EnumSpatialQualifiers,,,131184002,Area of defined region,http://snomed.info/id/,LinkML gen-harmony
snomedct:131185001,Vertical long axis,EnumSpatialQualifiers,,,131185001,Vertical long axis,http://snomed.info/id/,LinkML gen-harmony
snomedct:131186000,Horizontal long axis,EnumSpatialQualifiers,,,131186000,Horizontal long axis,http://snomed.info/id/,LinkML gen-harmony
snomedct:131187009,Major Axis,EnumSpatialQualifiers,,,131187009,Major Axis,http://snomed.info/id/,LinkML gen-harmony
snomedct:131188004,Minor Axis,EnumSpatialQualifiers,,,131188004,Minor Axis,http://snomed.info/id/,LinkML gen-harmony
snomedct:131189007,Perpendicular axis,EnumSpatialQualifiers,,,131189007,Perpendicular axis,http://snomed.info/id/,LinkML gen-harmony
snomedct:131190003,Radius,EnumSpatialQualifiers,,,131190003,Radius,http://snomed.info/id/,LinkML gen-harmony
snomedct:131191004,Perimeter,EnumSpatialQualifiers,,,131191004,Perimeter,http://snomed.info/id/,LinkML gen-harmony
snomedct:14414005,Peripheral,EnumSpatialQualifiers,,,14414005,Peripheral,http://snomed.info/id/,LinkML gen-harmony
snomedct:1483009,Angular,EnumSpatialQualifiers,,,1483009,Angular,http://snomed.info/id/,LinkML gen-harmony
snomedct:18769003,Juxta-posed,EnumSpatialQualifiers,,,18769003,Juxta-posed,http://snomed.info/id/,LinkML gen-harmony
snomedct:21006006,Hemispheric,EnumSpatialQualifiers,,,21006006,Hemispheric,http://snomed.info/id/,LinkML gen-harmony
snomedct:21481007,Over,EnumSpatialQualifiers,,,21481007,Over,http://snomed.info/id/,LinkML gen-harmony
snomedct:24020000,Horizontal,EnumSpatialQualifiers,,,24020000,Horizontal,http://snomed.info/id/,LinkML gen-harmony
snomedct:24028007,Right (qualifier value),EnumSpatialQualifiers,,,24028007,Right (qualifier value),http://snomed.info/id/,LinkML gen-harmony
snomedct:24422004,Axial,EnumSpatialQualifiers,,,24422004,Axial,http://snomed.info/id/,LinkML gen-harmony
snomedct:255527003,Horizontal - 3 and 9,EnumSpatialQualifiers,,,255527003,Horizontal - 3 and 9,http://snomed.info/id/,LinkML gen-harmony
snomedct:255528008,Horizontal and vertical,EnumSpatialQualifiers,,,255528008,Horizontal and vertical,http://snomed.info/id/,LinkML gen-harmony
snomedct:261129000,Mediolateral,EnumSpatialQualifiers,,,261129000,Mediolateral,http://snomed.info/id/,LinkML gen-harmony
snomedct:26216008,Central,EnumSpatialQualifiers,,,26216008,Central,http://snomed.info/id/,LinkML gen-harmony
snomedct:26283006,Superficial,EnumSpatialQualifiers,,,26283006,Superficial,http://snomed.info/id/,LinkML gen-harmony
snomedct:263687007,Bony extra-articular,EnumSpatialQualifiers,,,263687007,Bony extra-articular,http://snomed.info/id/,LinkML gen-harmony
snomedct:263688002,Bony intra-articular,EnumSpatialQualifiers,,,263688002,Bony intra-articular,http://snomed.info/id/,LinkML gen-harmony
snomedct:264731004,Lateral to the left,EnumSpatialQualifiers,,,264731004,Lateral to the left,http://snomed.info/id/,LinkML gen-harmony
snomedct:264732006,Lateral to the right,EnumSpatialQualifiers,,,264732006,Lateral to the right,http://snomed.info/id/,LinkML gen-harmony
snomedct:264733001,Linear longitudinal,EnumSpatialQualifiers,,,264733001,Linear longitudinal,http://snomed.info/id/,LinkML gen-harmony
snomedct:264737000,Linear transverse,EnumSpatialQualifiers,,,264737000,Linear transverse,http://snomed.info/id/,LinkML gen-harmony
snomedct:264741001,Posterolateral to the left,EnumSpatialQualifiers,,,264741001,Posterolateral to the left,http://snomed.info/id/,LinkML gen-harmony
snomedct:264742008,Posterolateral to the right,EnumSpatialQualifiers,,,264742008,Posterolateral to the right,http://snomed.info/id/,LinkML gen-harmony
snomedct:264839005,Horizontal cleavage,EnumSpatialQualifiers,,,264839005,Horizontal cleavage,http://snomed.info/id/,LinkML gen-harmony
snomedct:27237009,Triangular,EnumSpatialQualifiers,,,27237009,Triangular,http://snomed.info/id/,LinkML gen-harmony
snomedct:28241006,Rhomboid,EnumSpatialQualifiers,,,28241006,Rhomboid,http://snomed.info/id/,LinkML gen-harmony
snomedct:28947002,Right curve,EnumSpatialQualifiers,,,28947002,Right curve,http://snomed.info/id/,LinkML gen-harmony
snomedct:30730003,Sagittal,EnumSpatialQualifiers,,,30730003,Sagittal,http://snomed.info/id/,LinkML gen-harmony
snomedct:30899007,Quadrangular,EnumSpatialQualifiers,,,30899007,Quadrangular,http://snomed.info/id/,LinkML gen-harmony
snomedct:32381004,Portal,EnumSpatialQualifiers,,,32381004,Portal,http://snomed.info/id/,LinkML gen-harmony
snomedct:32400000,Preaxial,EnumSpatialQualifiers,,,32400000,Preaxial,http://snomed.info/id/,LinkML gen-harmony
snomedct:33096000,Vertical,EnumSpatialQualifiers,,,33096000,Vertical,http://snomed.info/id/,LinkML gen-harmony
snomedct:33843005,Efferent,EnumSpatialQualifiers,,,33843005,Efferent,http://snomed.info/id/,LinkML gen-harmony
snomedct:350722008,Behind,EnumSpatialQualifiers,,,350722008,Behind,http://snomed.info/id/,LinkML gen-harmony
snomedct:351726001,Below,EnumSpatialQualifiers,,,351726001,Below,http://snomed.info/id/,LinkML gen-harmony
snomedct:352730000,Supra-,EnumSpatialQualifiers,,,352730000,Supra-,http://snomed.info/id/,LinkML gen-harmony
snomedct:353734004,Upward,EnumSpatialQualifiers,,,353734004,Upward,http://snomed.info/id/,LinkML gen-harmony
snomedct:354652004,Circular,EnumSpatialQualifiers,,,354652004,Circular,http://snomed.info/id/,LinkML gen-harmony
snomedct:355648006,Surrounding,EnumSpatialQualifiers,,,355648006,Surrounding,http://snomed.info/id/,LinkML gen-harmony
snomedct:37197008,Anterolateral,EnumSpatialQualifiers,,,37197008,Anterolateral,http://snomed.info/id/,LinkML gen-harmony
snomedct:38717003,Longitudinal,EnumSpatialQualifiers,,,38717003,Longitudinal,http://snomed.info/id/,LinkML gen-harmony
snomedct:39187007,Bent,EnumSpatialQualifiers,,,39187007,Bent,http://snomed.info/id/,LinkML gen-harmony
snomedct:40415009,Proximal,EnumSpatialQualifiers,,,40415009,Proximal,http://snomed.info/id/,LinkML gen-harmony
snomedct:410674003,Regional,EnumSpatialQualifiers,,,410674003,Regional,http://snomed.info/id/,LinkML gen-harmony
snomedct:410679008,Surface,EnumSpatialQualifiers,,,410679008,Surface,http://snomed.info/id/,LinkML gen-harmony
snomedct:42798000,Area,EnumSpatialQualifiers,,,42798000,Area,http://snomed.info/id/,LinkML gen-harmony
snomedct:43674008,Apical,EnumSpatialQualifiers,,,43674008,Apical,http://snomed.info/id/,LinkML gen-harmony
snomedct:45226003,Cylindrical,EnumSpatialQualifiers,,,45226003,Cylindrical,http://snomed.info/id/,LinkML gen-harmony
snomedct:46053002,Distal,EnumSpatialQualifiers,,,46053002,Distal,http://snomed.info/id/,LinkML gen-harmony
snomedct:47021000,Left curve,EnumSpatialQualifiers,,,47021000,Left curve,http://snomed.info/id/,LinkML gen-harmony
snomedct:49370004,Lateral,EnumSpatialQualifiers,,,49370004,Lateral,http://snomed.info/id/,LinkML gen-harmony
snomedct:49530007,Afferent,EnumSpatialQualifiers,,,49530007,Afferent,http://snomed.info/id/,LinkML gen-harmony
snomedct:50009006,Linear,EnumSpatialQualifiers,,,50009006,Linear,http://snomed.info/id/,LinkML gen-harmony
snomedct:50362007,Stellate,EnumSpatialQualifiers,,,50362007,Stellate,http://snomed.info/id/,LinkML gen-harmony
snomedct:50974003,Junctional,EnumSpatialQualifiers,,,50974003,Junctional,http://snomed.info/id/,LinkML gen-harmony
snomedct:51440002,Right and left,EnumSpatialQualifiers,,,51440002,Right and left,http://snomed.info/id/,LinkML gen-harmony
snomedct:5686001,Remote,EnumSpatialQualifiers,,,5686001,Remote,http://snomed.info/id/,LinkML gen-harmony
snomedct:56924007,Square,EnumSpatialQualifiers,,,56924007,Square,http://snomed.info/id/,LinkML gen-harmony
snomedct:57183005,Along edge,EnumSpatialQualifiers,,,57183005,Along edge,http://snomed.info/id/,LinkML gen-harmony
snomedct:57195005,Basal,EnumSpatialQualifiers,,,57195005,Basal,http://snomed.info/id/,LinkML gen-harmony
snomedct:59410002,Rectangular,EnumSpatialQualifiers,,,59410002,Rectangular,http://snomed.info/id/,LinkML gen-harmony
snomedct:60301000,Curved,EnumSpatialQualifiers,,,60301000,Curved,http://snomed.info/id/,LinkML gen-harmony
snomedct:60583000,Postaxial,EnumSpatialQualifiers,,,60583000,Postaxial,http://snomed.info/id/,LinkML gen-harmony
snomedct:61397002,Subcapsular,EnumSpatialQualifiers,,,61397002,Subcapsular,http://snomed.info/id/,LinkML gen-harmony
snomedct:62083003,Sectional,EnumSpatialQualifiers,,,62083003,Sectional,http://snomed.info/id/,LinkML gen-harmony
snomedct:62372003,Segmental,EnumSpatialQualifiers,,,62372003,Segmental,http://snomed.info/id/,LinkML gen-harmony
snomedct:62824007,Transverse,EnumSpatialQualifiers,,,62824007,Transverse,http://snomed.info/id/,LinkML gen-harmony
snomedct:66787007,Cephalic,EnumSpatialQualifiers,,,66787007,Cephalic,http://snomed.info/id/,LinkML gen-harmony
snomedct:68493006,Gutter,EnumSpatialQualifiers,,,68493006,Gutter,http://snomed.info/id/,LinkML gen-harmony
snomedct:69320009,Extracellular,EnumSpatialQualifiers,,,69320009,Extracellular,http://snomed.info/id/,LinkML gen-harmony
snomedct:69389007,Saccular,EnumSpatialQualifiers,,,69389007,Saccular,http://snomed.info/id/,LinkML gen-harmony
snomedct:710097009,Incisal,EnumSpatialQualifiers,,,710097009,Incisal,http://snomed.info/id/,LinkML gen-harmony
snomedct:710098004,Occlusal,EnumSpatialQualifiers,,,710098004,Occlusal,http://snomed.info/id/,LinkML gen-harmony
snomedct:710099007,Mesial,EnumSpatialQualifiers,,,710099007,Mesial,http://snomed.info/id/,LinkML gen-harmony
snomedct:7771000,Left (qualifier value),EnumSpatialQualifiers,,,7771000,Left (qualifier value),http://snomed.info/id/,LinkML gen-harmony
snomedct:795002,Deep,EnumSpatialQualifiers,,,795002,Deep,http://snomed.info/id/,LinkML gen-harmony
snomedct:81654009,Coronal,EnumSpatialQualifiers,,,81654009,Coronal,http://snomed.info/id/,LinkML gen-harmony
snomedct:83167003,Intracellular,EnumSpatialQualifiers,,,83167003,Intracellular,http://snomed.info/id/,LinkML gen-harmony
snomedct:84177009,Straddling,EnumSpatialQualifiers,,,84177009,Straddling,http://snomed.info/id/,LinkML gen-harmony
snomedct:87687004,Extra-articular,EnumSpatialQualifiers,,,87687004,Extra-articular,http://snomed.info/id/,LinkML gen-harmony
snomedct:90069004,Posterolateral,EnumSpatialQualifiers,,,90069004,Posterolateral,http://snomed.info/id/,LinkML gen-harmony
snomedct:272424004,Relative sites (qualifier value),EnumSpatialQualifiers,,,272424004,Relative sites (qualifier value),http://snomed.info/id/,LinkML gen-harmony
snomedct:112233002,Marginal,EnumSpatialQualifiers,,,112233002,Marginal,http://snomed.info/id/,LinkML gen-harmony
snomedct:1197041002,Intercostal,EnumSpatialQualifiers,,,1197041002,Intercostal,http://snomed.info/id/,LinkML gen-harmony
snomedct:1285325005,Intralobular,EnumSpatialQualifiers,,,1285325005,Intralobular,http://snomed.info/id/,LinkML gen-harmony
snomedct:128590009,Anatomical reference point of right atrium,EnumSpatialQualifiers,,,128590009,Anatomical reference point of right atrium,http://snomed.info/id/,LinkML gen-harmony
snomedct:1362012009,Inlet projection,EnumSpatialQualifiers,,,1362012009,Inlet projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:1363295008,Unilobar,EnumSpatialQualifiers,,,1363295008,Unilobar,http://snomed.info/id/,LinkML gen-harmony
snomedct:1363296009,Ipsilateral multilobar,EnumSpatialQualifiers,,,1363296009,Ipsilateral multilobar,http://snomed.info/id/,LinkML gen-harmony
snomedct:182353008,Side,EnumSpatialQualifiers,,,182353008,Side,http://snomed.info/id/,LinkML gen-harmony
snomedct:225780003,Sublingual,EnumSpatialQualifiers,,,225780003,Sublingual,http://snomed.info/id/,LinkML gen-harmony
snomedct:229801003,Intra-arterial,EnumSpatialQualifiers,,,229801003,Intra-arterial,http://snomed.info/id/,LinkML gen-harmony
snomedct:255208005,Ipsilateral,EnumSpatialQualifiers,,,255208005,Ipsilateral,http://snomed.info/id/,LinkML gen-harmony
snomedct:255209002,Contralateral,EnumSpatialQualifiers,,,255209002,Contralateral,http://snomed.info/id/,LinkML gen-harmony
snomedct:255348000,Inframammary,EnumSpatialQualifiers,,,255348000,Inframammary,http://snomed.info/id/,LinkML gen-harmony
snomedct:255472009,Panretinal,EnumSpatialQualifiers,,,255472009,Panretinal,http://snomed.info/id/,LinkML gen-harmony
snomedct:255482005,Left upper segment,EnumSpatialQualifiers,,,255482005,Left upper segment,http://snomed.info/id/,LinkML gen-harmony
snomedct:255486008,Lower segment,EnumSpatialQualifiers,,,255486008,Lower segment,http://snomed.info/id/,LinkML gen-harmony
snomedct:255496004,Right lower segment,EnumSpatialQualifiers,,,255496004,Right lower segment,http://snomed.info/id/,LinkML gen-harmony
snomedct:255499006,Right upper segment,EnumSpatialQualifiers,,,255499006,Right upper segment,http://snomed.info/id/,LinkML gen-harmony
snomedct:255501003,Upper segment,EnumSpatialQualifiers,,,255501003,Upper segment,http://snomed.info/id/,LinkML gen-harmony
snomedct:255546002,Underlay,EnumSpatialQualifiers,,,255546002,Underlay,http://snomed.info/id/,LinkML gen-harmony
snomedct:255547006,Overlay,EnumSpatialQualifiers,,,255547006,Overlay,http://snomed.info/id/,LinkML gen-harmony
snomedct:255548001,Sandwich graft,EnumSpatialQualifiers,,,255548001,Sandwich graft,http://snomed.info/id/,LinkML gen-harmony
snomedct:255549009,Anterior,EnumSpatialQualifiers,,,255549009,Anterior,http://snomed.info/id/,LinkML gen-harmony
snomedct:255550009,Anterior to epiglottis,EnumSpatialQualifiers,,,255550009,Anterior to epiglottis,http://snomed.info/id/,LinkML gen-harmony
snomedct:255551008,Posterior,EnumSpatialQualifiers,,,255551008,Posterior,http://snomed.info/id/,LinkML gen-harmony
snomedct:255552001,Posterior to epiglottis,EnumSpatialQualifiers,,,255552001,Posterior to epiglottis,http://snomed.info/id/,LinkML gen-harmony
snomedct:255554000,Dorsal,EnumSpatialQualifiers,,,255554000,Dorsal,http://snomed.info/id/,LinkML gen-harmony
snomedct:255557007,Intracerebral,EnumSpatialQualifiers,,,255557007,Intracerebral,http://snomed.info/id/,LinkML gen-harmony
snomedct:255558002,Intragastric,EnumSpatialQualifiers,,,255558002,Intragastric,http://snomed.info/id/,LinkML gen-harmony
snomedct:255559005,Intramuscular,EnumSpatialQualifiers,,,255559005,Intramuscular,http://snomed.info/id/,LinkML gen-harmony
snomedct:255560000,Intravenous,EnumSpatialQualifiers,,,255560000,Intravenous,http://snomed.info/id/,LinkML gen-harmony
snomedct:255561001,Medial,EnumSpatialQualifiers,,,255561001,Medial,http://snomed.info/id/,LinkML gen-harmony
snomedct:255562008,Mid,EnumSpatialQualifiers,,,255562008,Mid,http://snomed.info/id/,LinkML gen-harmony
snomedct:255563003,Mid-zone,EnumSpatialQualifiers,,,255563003,Mid-zone,http://snomed.info/id/,LinkML gen-harmony
snomedct:255564009,Perivascular,EnumSpatialQualifiers,,,255564009,Perivascular,http://snomed.info/id/,LinkML gen-harmony
snomedct:255565005,Peripapillary,EnumSpatialQualifiers,,,255565005,Peripapillary,http://snomed.info/id/,LinkML gen-harmony
snomedct:255567002,Postauricular,EnumSpatialQualifiers,,,255567002,Postauricular,http://snomed.info/id/,LinkML gen-harmony
snomedct:255568007,Retrosternal,EnumSpatialQualifiers,,,255568007,Retrosternal,http://snomed.info/id/,LinkML gen-harmony
snomedct:255569004,Suprasternal,EnumSpatialQualifiers,,,255569004,Suprasternal,http://snomed.info/id/,LinkML gen-harmony
snomedct:255579002,Palatal-lingual,EnumSpatialQualifiers,,,255579002,Palatal-lingual,http://snomed.info/id/,LinkML gen-harmony
snomedct:255584008,Septal,EnumSpatialQualifiers,,,255584008,Septal,http://snomed.info/id/,LinkML gen-harmony
snomedct:255690001,Drug in contact with skin,EnumSpatialQualifiers,,,255690001,Drug in contact with skin,http://snomed.info/id/,LinkML gen-harmony
snomedct:258186003,Via collaterals,EnumSpatialQualifiers,,,258186003,Via collaterals,http://snomed.info/id/,LinkML gen-harmony
snomedct:258187007,Via native vessel - graft impaired,EnumSpatialQualifiers,,,258187007,Via native vessel - graft impaired,http://snomed.info/id/,LinkML gen-harmony
snomedct:258188002,Via native vessel - graft occluded,EnumSpatialQualifiers,,,258188002,Via native vessel - graft occluded,http://snomed.info/id/,LinkML gen-harmony
snomedct:258189005,Via skip graft,EnumSpatialQualifiers,,,258189005,Via skip graft,http://snomed.info/id/,LinkML gen-harmony
